searge,name,side,desc
field_1000_j,editLine,0,The number of the line that is being edited.
field_1002_h,entitySign,0,Reference to the sign object.
field_1003_b,mc,0,A reference to the Minecraft object.
field_1007_c,currentlyDisplayedText,0,The text currently displayed (i.e. the argument to the last call to printText or func_597_c)
field_1008_b,y,0,
field_1009_a,x,0,
field_1010_d,updateTime,0,
field_1011_c,z,0,
field_1012_M,entitiesWithinAABBExcludingEntity,0,"entities within AxisAlignedBB excluding one, set and returned in getEntitiesWithinAABBExcludingEntity(Entity var1, AxisAlignedBB var2)"
field_1017_H,chunkProvider,0,Handles chunk operations and caching
field_1019_F,cloudColour,0,
field_1024_A,unloadedEntityList,0,
field_1026_y,isRemote,0,"This is set to true when you are a client connected to a multiplayer world, false otherwise."
field_1033_r,isNewWorld,0,Used to differentiate between a newly generated world and an already existing world.
field_1037_n,rand,0,RNG for World.
field_1039_l,difficultySetting,0,Option > Difficulty setting (0 - 3)
field_1040_k,playerEntities,0,Array list of players in the world.
field_1043_h,editingBlocks,0,true while the world is editing blocks
field_1046_e,skylightSubtracted,0,How much light is subtracted from full daylight
field_1049_b,loadedTileEntityList,0,A list of all TileEntities in all currently-loaded chunks
field_1050_a,loadedEntityList,0,A list of all Entities in all currently-loaded chunks
field_1052_A,sendQueue,0,The packets that need to be sent to the server.
field_1053_F,entitySpawnQueue,0,Contains all entities for this client that were not spawned due to a non-present chunk. The game will attempt to spawn up to 10 pending entities with each subsequent tick until the spawn queue is empty.
field_1054_E,lockTimestamp,0,Contains a timestamp from when the World object was created. Is used in the session.lock file
field_1055_D,entityHashSet,0,The hash set of entities handled by this client. Uses the entity's ID as the hash set's key.
field_1056_C,scheduledTickSet,0,Set of scheduled ticks (used for checking if a tick already exists)
field_1057_z,blocksToReceive,0,"Contains a list of blocks to to receive and process after they've been 'accepted' by the client (i.e., not invalidated)."
field_1058_B,scheduledTickTreeSet,0,TreeSet of scheduled ticks which is used as a priority queue for the ticks
field_1059_b,chunkZ,0,
field_1060_a,chunkX,0,
field_1061_d,worldObj,0,Reference to the World object.
field_1062_c,chunkArray,0,
field_1063_a,netManager,0,Reference to the NetworkManager object.
field_1064_b,isInTestMode,0,
field_1065_a,mc,0,A reference to the Minecraft object.
field_1068_i,blockHitWait,0,
field_1069_h,blockDestroySoundCounter,0,
field_1070_g,prevBlockDamage,0,
field_1071_f,curBlockDamage,0,
field_1072_e,curBlockZ,0,
field_1073_d,curBlockY,0,
field_1074_c,curBlockX,0,
field_1075_l,currentPlayerItem,0,Index of the current item held by the player in the inventory hotbar
field_1080_g,prevBlockDamageMP,0,Previous block damage (MP)
field_1085_a,netManager,0,Reference to the NetworkManager object.
field_1086_a,netManager,0,Reference to the NetworkManager object.
field_1087_a,name,0,The UTF string key used to lookup values.
field_1088_a,data,0,The short value for the tag.
field_1089_a,data,0,The double value for the tag.
field_1090_b,tagType,0,The type byte for the tags in the list - they must all be of the same type.
field_1091_a,tagList,0,The array list containing the tags encapsulated in this list.
field_1092_a,data,0,The byte value for the tag.
field_1093_a,data,0,The integer value for the tag.
field_1094_a,tagMap,0,"The key-value pairs for the tag. Each key is a UTF string, each value is a tag."
field_1095_a,data,0,The long value for the tag.
field_1096_a,byteArray,0,The byte array stored in the tag.
field_1097_a,data,0,The float value for the tag.
field_1098_a,data,0,The string value for the tag (cannot be empty).
field_1099_b,recipeItems,0,
field_1100_a,recipePatterns,0,
field_1102_a,mc,0,A reference to the Minecraft object.
field_1103_d,connectingGui,0,A reference to the GuiConnecting object.
field_1104_c,port,0,The port used to connect.
field_1105_b,valueEntry,0,The object stored in this entry
field_1106_a,hashEntry,0,The hash code of this entry
field_1107_d,slotHash,0,The id of the hash slot computed from the hash
field_1108_c,nextEntry,0,The next entry in this slot
field_1109_a,data,0,Byte array of data stored in this holder. Possibly a light map or some chunk data. Data is accessed in 4-bit pieces.
field_1110_b,y,0,The y coordinate of this ChunkPosition
field_1111_a,x,0,The x coordinate of this ChunkPosition
field_1112_c,z,0,The z coordinate of this ChunkPosition
field_1113_b,deltaY,0,Mouse delta Y this frame
field_1114_a,deltaX,0,Mouse delta X this frame
field_1116_d,cursor,0,
field_1117_c,windowComponent,0,
field_1118_b,inventory,0,The inventory we want to extract a slot from.
field_1119_a,slotIndex,0,The index of the slot in the inventory.
field_1123_d,parent,0,"The parent class of this clot, ContainerPlayer, SlotArmor is a Anon inner class."
field_1124_c,armorType,0,"The armor type that can be placed on that slot, it uses the same values of armorType field on ItemArmor."
field_1125_c,craftMatrix,0,The craft matrix inventory linked to this result slot.
field_1126_b,iconIndex,0,
field_1127_a,imageData,0,
field_1128_f,tileImage,0,
field_1129_e,tileSize,0,
field_1130_d,textureId,0,Texture ID
field_1131_c,anaglyphEnabled,0,
field_1134_k,tickCounter,0,
field_1154_k,tickCounter,0,
field_1155_j,alpha,0,alpha RGB value for water texture
field_1156_i,blue,0,blue RGB value for water texture
field_1157_h,green,0,green RGB value for water texture
field_1158_g,red,0,red RGB value for water texture
field_1159_b,worldObj,0,Reference to the World object.
field_1160_a,rail,0,
field_1161_g,connectedTracks,0,
field_1163_e,trackZ,0,
field_1164_d,trackY,0,
field_1165_c,trackX,0,
field_1166_b,blockX,0,x coordinate of the block ray traced against
